"Group","Setting"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/SmallSequentialReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/ActivePowerParameters/SmallSequentialWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/1/IdleExitEnergyMicroJoules"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/1/IdleExitLatencyMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/1/IdlePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/1/IdleTimeLengthMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/2/IdleExitEnergyMicroJoules"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/2/IdleExitLatencyMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/2/IdlePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/2/IdleTimeLengthMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/3/IdleExitEnergyMicroJoules"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/3/IdleExitLatencyMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/3/IdlePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/IdleState/3/IdleTimeLengthMs"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/SSD/IdlePowerParameters/NumberOfIdleStates"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassAC/TailDurationMs"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassAC/TailPowerMw"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassAC/TxRxPowerMw"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassB/TailDurationMs"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassB/TailPowerMw"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassB/TxRxPowerMw"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassG/TailDurationMs"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassG/TailPowerMw"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassG/TxRxPowerMw"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassN/TailDurationMs"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassN/TailPowerMw"
"knobs","Power/EnergyEstimationEngine/Wifi/WifiClass/ClassN/TxRxPowerMw"
"knobs","Power/Policy/Settings/Button/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/Setting/PowerButtonAction/AcValue"
"knobs","Power/Policy/Settings/Button/SchemePersonality/381b4222-f694-41f0-9685-ff5bb260df2e/Setting/PowerButtonAction/DcValue"
